台灣頻道,#genre#
東森財經,http://154.12.60.186/ubtv/ubtv.php?id=2397
東森財經,http://154.12.60.186/ubtv/ubtv.php?id=12
華視新聞,http://154.12.60.186/ubtv/ubtv.php?id=2424
台視新聞,http://154.12.60.186/ubtv/ubtv.php?id=2399
台視新聞,http://154.12.60.186/ubtv/ubtv.php?id=1
中視新聞,http://154.12.60.186/ubtv/ubtv.php?id=2400
寰宇新聞,http://154.12.60.186/ubtv/ubtv.php?id=2401
寰宇新聞,http://154.12.60.186/ubtv/ubtv.php?id=304
寰宇財經,http://154.12.60.186/ubtv/ubtv.php?id=2536
公視新聞,http://154.12.60.186/ubtv/ubtv.php?id=20
寰宇臺灣,http://154.12.60.186/ubtv/ubtv.php?id=87
年代新聞,http://154.12.60.186/ubtv/ubtv.php?id=2719
年代新聞,http://154.12.60.186/ubtv/ubtv.php?id=1099
壹新聞,http://154.12.60.186/ubtv/ubtv.php?id=2777
台視財經,http://154.12.60.186/ubtv/ubtv.php?id=300
鏡新聞mnews,http://154.12.60.186/ubtv/ubtv.php?id=463
三立国際,http://154.12.60.186/ubtv/ubtv.php?id=2285
CBN News,http://154.12.60.186/ubtv/ubtv.php?id=499
東森戲劇,http://154.12.60.186/ubtv/ubtv.php?id=2825
東森戲劇,http://154.12.60.186/ubtv/ubtv.php?id=321
八大戲劇,http://154.12.60.186/ubtv/ubtv.php?id=81
緯來戲劇,http://154.12.60.186/ubtv/ubtv.php?id=2727
緯來戲劇,http://154.12.60.186/ubtv/ubtv.php?id=339
東森電影,http://154.12.60.186/ubtv/ubtv.php?id=350
東森電影,http://154.12.60.186/ubtv/ubtv.php?id=2720
緯來電影,http://154.12.60.186/ubtv/ubtv.php?id=2728
緯來電影,http://154.12.60.186/ubtv/ubtv.php?id=3252
HBO HD,http://154.12.60.186/ubtv/ubtv.php?id=332
HBO HD,http://154.12.60.186/ubtv/ubtv.php?id=2823
東森洋片,http://154.12.60.186/ubtv/ubtv.php?id=1128
壹電影,http://154.12.60.186/ubtv/ubtv.php?id=2284
好萊塢電影,http://154.12.60.186/ubtv/ubtv.php?id=37
愛爾達影劇,http://154.12.60.186/ubtv/ubtv.php?id=500
CineMAX,http://154.12.60.186/ubtv/ubtv.php?id=346
靖天映畫,http://154.12.60.186/ubtv/ubtv.php?id=349
靖洋戲劇,http://154.12.60.186/ubtv/ubtv.php?id=319
緯來精彩,http://154.12.60.186/ubtv/ubtv.php?id=2280
EYE戲劇,http://154.12.60.186/ubtv/ubtv.php?id=191
三立戲劇,http://154.12.60.186/ubtv/ubtv.php?id=64
三立戲劇,http://154.12.60.186/ubtv/ubtv.php?id=2819
龍華偶像,http://154.12.60.186/ubtv/ubtv.php?id=385
霹靂臺灣,http://154.12.60.186/ubtv/ubtv.php?id=1339
靖天電影,http://154.12.60.186/ubtv/ubtv.php?id=110
美亞電影,http://154.12.60.186/ubtv/ubtv.php?id=375
HBOSignature,http://154.12.60.186/ubtv/ubtv.php?id=329
HBOSignature,http://154.12.60.186/ubtv/ubtv.php?id=2824
HBO Hits,http://154.12.60.186/ubtv/ubtv.php?id=330
采昌影劇,http://154.12.60.186/ubtv/ubtv.php?id=62
采昌影劇,http://154.12.60.186/ubtv/ubtv.php?id=2804
影迷數位電影,http://154.12.60.186/ubtv/ubtv.php?id=497
影迷數位電影,http://154.12.60.186/ubtv/ubtv.php?id=2800
龍華戲劇,http://154.12.60.186/ubtv/ubtv.php?id=365
龍華戲劇,http://154.12.60.186/ubtv/ubtv.php?id=2796
龍華經典,http://154.12.60.186/ubtv/ubtv.php?id=100
龍翔時代,http://154.12.60.186/ubtv/ubtv.php?id=373
AXN臺灣,http://154.12.60.186/ubtv/ubtv.php?id=2816
天映經典,http://154.12.60.186/ubtv/ubtv.php?id=2289
公視戲劇,http://154.12.60.186/ubtv/ubtv.php?id=69
AXN亞洲,http://154.12.60.186/ubtv/ubtv.php?id=1066
Trill恐怖電影,http://154.12.60.186/ubtv/ubtv.php?id=18
龍華電影,http://154.12.60.186/ubtv/ubtv.php?id=311
華納電影,http://154.12.60.186/ubtv/ubtv.php?id=83
靖天戲劇,http://154.12.60.186/ubtv/ubtv.php?id=109
龍華洋片,http://154.12.60.186/ubtv/ubtv.php?id=341
飢餓遊戲,http://154.12.60.186/ubtv/ubtv.php?id=264
ELTA體育1,http://154.12.60.186/ubtv/ubtv.php?id=2729
ELTA體育1-備,http://154.12.60.186/ubtv/ubtv.php?id=192
ELTA體育2,http://154.12.60.186/ubtv/ubtv.php?id=2730
ELTA體育2-備,http://154.12.60.186/ubtv/ubtv.php?id=193
ELTA體育3-備2,http://154.12.60.186/ubtv/ubtv.php?id=194
ELTA體育3,http://154.12.60.186/ubtv/ubtv.php?id=2731
ELTA體育3台-備,http://154.12.60.186/ubtv/ubtv.php?id=2722
ELTA體育4,http://154.12.60.186/ubtv/ubtv.php?id=2820
ELTA體育4-備,http://154.12.60.186/ubtv/ubtv.php?id=3255
緯來體育,http://154.12.60.186/ubtv/ubtv.php?id=118
緯來體育,http://154.12.60.186/ubtv/ubtv.php?id=2732
Eleven Sport 1,http://154.12.60.186/ubtv/ubtv.php?id=3224
Eleven Sport 2,http://154.12.60.186/ubtv/ubtv.php?id=301
Z頻道,http://154.12.60.186/ubtv/ubtv.php?id=1130
博斯無限,http://154.12.60.186/ubtv/ubtv.php?id=381
博斯無限,http://154.12.60.186/ubtv/ubtv.php?id=2797
博斯無限2,http://154.12.60.186/ubtv/ubtv.php?id=426
博斯無限2,http://154.12.60.186/ubtv/ubtv.php?id=2798
博斯運動1,http://154.12.60.186/ubtv/ubtv.php?id=379
博斯運動2,http://154.12.60.186/ubtv/ubtv.php?id=380
亞洲旅遊,http://154.12.60.186/ubtv/ubtv.php?id=2299
探索頻道,http://154.12.60.186/ubtv/ubtv.php?id=2817
探索頻道,http://154.12.60.186/ubtv/ubtv.php?id=1035
大陸尋奇,http://154.12.60.186/ubtv/ubtv.php?id=102
動物星球,http://154.12.60.186/ubtv/ubtv.php?id=367
探索亞洲,http://154.12.60.186/ubtv/ubtv.php?id=306
探索科學,http://154.12.60.186/ubtv/ubtv.php?id=343
國家野生（英）,http://154.12.60.186/ubtv/ubtv.php?id=1038
探索EVE,http://154.12.60.186/ubtv/ubtv.php?id=1036
TaiwanPlus,http://154.12.60.186/ubtv/ubtv.php?id=327
視納華仁紀實,http://154.12.60.186/ubtv/ubtv.php?id=91
美食星球,http://154.12.60.186/ubtv/ubtv.php?id=3073
美食星球,http://154.12.60.186/ubtv/ubtv.php?id=1360
EYE旅遊,http://154.12.60.186/ubtv/ubtv.php?id=1494
探索動力DMAX,http://154.12.60.186/ubtv/ubtv.php?id=335
Globetrotter（環球旅遊）,http://154.12.60.186/ubtv/ubtv.php?id=114
Globetrotter（MOD）,http://154.12.60.186/ubtv/ubtv.php?id=3259
MOMO親子,http://154.12.60.186/ubtv/ubtv.php?id=2767
東森幼幼（備）,http://154.12.60.186/ubtv/ubtv.php?id=2771
東森幼幼,http://154.12.60.186/ubtv/ubtv.php?id=371
東森亞洲呦呦,http://154.12.60.186/ubtv/ubtv.php?id=293
CN卡通,http://154.12.60.186/ubtv/ubtv.php?id=107
靖洋卡通,http://154.12.60.186/ubtv/ubtv.php?id=348
靖天卡通,http://154.12.60.186/ubtv/ubtv.php?id=344
大愛一臺,http://154.12.60.186/ubtv/ubtv.php?id=11
新聞頻道,#genre#
三立新聞,http://154.12.60.186/ubtv/ubtv.php?id=43
三立新聞,http://154.12.60.186/ubtv/ubtv.php?id=2794
三立新聞,http://154.12.60.186/ubtv/ubtv.php?id=2392
三立新聞+,http://154.12.60.186/ubtv/ubtv.php?id=320
東森新聞,http://154.12.60.186/ubtv/ubtv.php?id=1025
東森新聞4,http://154.12.60.186/ubtv/ubtv.php?id=2766
東森新聞,http://154.12.60.186/ubtv/ubtv.php?id=1358
東森新聞,http://154.12.60.186/ubtv/ubtv.php?id=2393
東森亞洲,http://154.12.60.186/ubtv/ubtv.php?id=3
中天新聞,http://154.12.60.186/ubtv/ubtv.php?id=2394
中天新聞2台,http://154.12.60.186/ubtv/ubtv.php?id=152
中天新聞,http://154.12.60.186/ubtv/ubtv.php?id=2420
民視新聞,http://154.12.60.186/ubtv/ubtv.php?id=2395
民視新聞,http://154.12.60.186/ubtv/ubtv.php?id=13
TVBS新聞,http://154.12.60.186/ubtv/ubtv.php?id=2736
TVBS新聞,http://154.12.60.186/ubtv/ubtv.php?id=2
TVBS新聞,http://154.12.60.186/ubtv/ubtv.php?id=2396
東森財經,http://154.12.60.186/ubtv/ubtv.php?id=2397
東森財經,http://154.12.60.186/ubtv/ubtv.php?id=12
華視新聞,http://154.12.60.186/ubtv/ubtv.php?id=2424
台視新聞,http://154.12.60.186/ubtv/ubtv.php?id=2399
台視新聞,http://154.12.60.186/ubtv/ubtv.php?id=1
中視新聞,http://154.12.60.186/ubtv/ubtv.php?id=2400
中視新聞,http://154.12.60.186/ubtv/ubtv.php?id=7
寰宇新聞,http://154.12.60.186/ubtv/ubtv.php?id=2401
寰宇新聞,http://154.12.60.186/ubtv/ubtv.php?id=304
寰宇財經,http://154.12.60.186/ubtv/ubtv.php?id=2536
公視新聞,http://154.12.60.186/ubtv/ubtv.php?id=20
寰宇臺灣,http://154.12.60.186/ubtv/ubtv.php?id=87
年代新聞,http://154.12.60.186/ubtv/ubtv.php?id=2719
年代新聞,http://154.12.60.186/ubtv/ubtv.php?id=1099
壹新聞,http://154.12.60.186/ubtv/ubtv.php?id=2777
非凡新聞,http://154.12.60.186/ubtv/ubtv.php?id=2795
非凡新聞（備）,http://154.12.60.186/ubtv/ubtv.php?id=3236
非凡商業新聞,http://154.12.60.186/ubtv/ubtv.php?id=314
台視財經,http://154.12.60.186/ubtv/ubtv.php?id=300
運通財經,http://154.12.60.186/ubtv/ubtv.php?id=79
SBN全球財經,http://154.12.60.186/ubtv/ubtv.php?id=1497
鏡新聞mnews,http://154.12.60.186/ubtv/ubtv.php?id=463
鳳凰秀,http://154.12.60.186/ubtv/ubtv.php?id=1293
三立国際,http://154.12.60.186/ubtv/ubtv.php?id=2285
DW德國之聲,http://154.12.60.186/ubtv/ubtv.php?id=1059
FRANCE 24 English,http://154.12.60.186/ubtv/ubtv.php?id=2231
新唐人亞太台,http://154.12.60.186/ubtv/ubtv.php?id=10
CBN News,http://154.12.60.186/ubtv/ubtv.php?id=499
Bloomberg Business,http://154.12.60.186/ubtv/ubtv.php?id=1046
Al Jazeera,http://154.12.60.186/ubtv/ubtv.php?id=1144
Bloomberg Quicktake,http://154.12.60.186/ubtv/ubtv.php?id=370
NHK WORLD,http://154.12.60.186/ubtv/ubtv.php?id=1394
United Nations,http://154.12.60.186/ubtv/ubtv.php?id=184
Channels,http://154.12.60.186/ubtv/ubtv.php?id=1495
ABC News Australia,http://154.12.60.186/ubtv/ubtv.php?id=2769
GB News,http://154.12.60.186/ubtv/ubtv.php?id=77
FRANCE 24,http://154.12.60.186/ubtv/ubtv.php?id=1042
CNN Indonesia,http://154.12.60.186/ubtv/ubtv.php?id=1145
TRTWORLD,http://154.12.60.186/ubtv/ubtv.php?id=1022
影視頻道,#genre#
八大精彩,http://154.12.60.186/ubtv/ubtv.php?id=1024
龍華日韓,http://154.12.60.186/ubtv/ubtv.php?id=382
東森戲劇,http://154.12.60.186/ubtv/ubtv.php?id=2825
東森戲劇,http://154.12.60.186/ubtv/ubtv.php?id=321
八大戲劇,http://154.12.60.186/ubtv/ubtv.php?id=81
緯來戲劇,http://154.12.60.186/ubtv/ubtv.php?id=2727
緯來戲劇,http://154.12.60.186/ubtv/ubtv.php?id=339
東森電影,http://154.12.60.186/ubtv/ubtv.php?id=350
東森電影,http://154.12.60.186/ubtv/ubtv.php?id=2720
緯來電影,http://154.12.60.186/ubtv/ubtv.php?id=2728
緯來電影,http://154.12.60.186/ubtv/ubtv.php?id=3252
HBO HD,http://154.12.60.186/ubtv/ubtv.php?id=332
HBO HD,http://154.12.60.186/ubtv/ubtv.php?id=2823
東森洋片,http://154.12.60.186/ubtv/ubtv.php?id=1128
壹電影,http://154.12.60.186/ubtv/ubtv.php?id=2284
好萊塢電影,http://154.12.60.186/ubtv/ubtv.php?id=37
愛爾達影劇,http://154.12.60.186/ubtv/ubtv.php?id=500
CineMAX,http://154.12.60.186/ubtv/ubtv.php?id=346
靖天映畫,http://154.12.60.186/ubtv/ubtv.php?id=349
靖洋戲劇,http://154.12.60.186/ubtv/ubtv.php?id=319
緯來精彩,http://154.12.60.186/ubtv/ubtv.php?id=2280
EYE戲劇,http://154.12.60.186/ubtv/ubtv.php?id=191
三立戲劇,http://154.12.60.186/ubtv/ubtv.php?id=64
三立戲劇,http://154.12.60.186/ubtv/ubtv.php?id=2819
龍華偶像,http://154.12.60.186/ubtv/ubtv.php?id=385
霹靂臺灣,http://154.12.60.186/ubtv/ubtv.php?id=1339
靖天電影,http://154.12.60.186/ubtv/ubtv.php?id=110
美亞電影,http://154.12.60.186/ubtv/ubtv.php?id=375
AMC,http://154.12.60.186/ubtv/ubtv.php?id=84
HBOSignature,http://154.12.60.186/ubtv/ubtv.php?id=329
HBOSignature,http://154.12.60.186/ubtv/ubtv.php?id=2824
HBO Hits,http://154.12.60.186/ubtv/ubtv.php?id=330
采昌影劇,http://154.12.60.186/ubtv/ubtv.php?id=62
采昌影劇,http://154.12.60.186/ubtv/ubtv.php?id=2804
影迷數位電影,http://154.12.60.186/ubtv/ubtv.php?id=497
影迷數位電影,http://154.12.60.186/ubtv/ubtv.php?id=2800
龍華戲劇,http://154.12.60.186/ubtv/ubtv.php?id=365
龍華戲劇,http://154.12.60.186/ubtv/ubtv.php?id=2796
龍華經典,http://154.12.60.186/ubtv/ubtv.php?id=100
龍翔時代,http://154.12.60.186/ubtv/ubtv.php?id=373
AXN臺灣,http://154.12.60.186/ubtv/ubtv.php?id=2816
天映經典,http://154.12.60.186/ubtv/ubtv.php?id=2289
公視戲劇,http://154.12.60.186/ubtv/ubtv.php?id=69
AXN亞洲,http://154.12.60.186/ubtv/ubtv.php?id=1066
Trill恐怖電影,http://154.12.60.186/ubtv/ubtv.php?id=18
龍華電影,http://154.12.60.186/ubtv/ubtv.php?id=311
華納電影,http://154.12.60.186/ubtv/ubtv.php?id=83
靖天戲劇,http://154.12.60.186/ubtv/ubtv.php?id=109
CATCHPLAY,http://154.12.60.186/ubtv/ubtv.php?id=362
CHC高清電影,http://154.12.60.186/ubtv/ubtv.php?id=1345
CHC動作電影,http://154.12.60.186/ubtv/ubtv.php?id=1346
CHC家庭影院,http://154.12.60.186/ubtv/ubtv.php?id=1347
CBN歡笑劇場4K,http://154.12.60.186/ubtv/ubtv.php?id=1348
SETONE,http://154.12.60.186/ubtv/ubtv.php?id=1349
龍華洋片,http://154.12.60.186/ubtv/ubtv.php?id=341
飢餓遊戲,http://154.12.60.186/ubtv/ubtv.php?id=264
台視時光機,http://154.12.60.186/ubtv/ubtv.php?id=2555
龍翔時代,http://154.12.60.186/ubtv/ubtv.php?id=1175
體育頻道,#genre#
ELTA體育1,http://154.12.60.186/ubtv/ubtv.php?id=2729
ELTA體育1-備,http://154.12.60.186/ubtv/ubtv.php?id=192
ELTA體育2,http://154.12.60.186/ubtv/ubtv.php?id=2730
ELTA體育2-備,http://154.12.60.186/ubtv/ubtv.php?id=193
ELTA體育3-備2,http://154.12.60.186/ubtv/ubtv.php?id=194
ELTA體育3,http://154.12.60.186/ubtv/ubtv.php?id=2731
ELTA體育3台-備,http://154.12.60.186/ubtv/ubtv.php?id=2722
ELTA體育4,http://154.12.60.186/ubtv/ubtv.php?id=2820
ELTA體育4-備,http://154.12.60.186/ubtv/ubtv.php?id=3255
緯來體育,http://154.12.60.186/ubtv/ubtv.php?id=118
緯來體育,http://154.12.60.186/ubtv/ubtv.php?id=2732
FOX Sport 1,http://154.12.60.186/ubtv/ubtv.php?id=2791
FOX Sport 2,http://154.12.60.186/ubtv/ubtv.php?id=1132
Eleven Sport 1,http://154.12.60.186/ubtv/ubtv.php?id=3224
Eleven Sport 2,http://154.12.60.186/ubtv/ubtv.php?id=301
Z頻道,http://154.12.60.186/ubtv/ubtv.php?id=1130
博斯無限,http://154.12.60.186/ubtv/ubtv.php?id=381
博斯無限,http://154.12.60.186/ubtv/ubtv.php?id=2797
博斯無限2,http://154.12.60.186/ubtv/ubtv.php?id=426
博斯無限2,http://154.12.60.186/ubtv/ubtv.php?id=2798
博斯網球,http://154.12.60.186/ubtv/ubtv.php?id=498
博斯高球1,http://154.12.60.186/ubtv/ubtv.php?id=377
博斯高球2,http://154.12.60.186/ubtv/ubtv.php?id=378
博斯魅力,http://154.12.60.186/ubtv/ubtv.php?id=175
博斯運動1,http://154.12.60.186/ubtv/ubtv.php?id=379
博斯運動2,http://154.12.60.186/ubtv/ubtv.php?id=380
TRACE Sport Stars,http://154.12.60.186/ubtv/ubtv.php?id=1037
歐洲體育,http://154.12.60.186/ubtv/ubtv.php?id=1342
魅力足球,http://154.12.60.186/ubtv/ubtv.php?id=464
BeIN Sport News,http://154.12.60.186/ubtv/ubtv.php?id=2402
BeIN Sport 1,http://154.12.60.186/ubtv/ubtv.php?id=2403
BeIN Sport 2,http://154.12.60.186/ubtv/ubtv.php?id=2404
BeIN Sport 3,http://154.12.60.186/ubtv/ubtv.php?id=2405
BeIN Sport 4,http://154.12.60.186/ubtv/ubtv.php?id=2406
BeIN Sport 5,http://154.12.60.186/ubtv/ubtv.php?id=2407
BeIN Sport 6,http://154.12.60.186/ubtv/ubtv.php?id=2408
BeIN Sport 7,http://154.12.60.186/ubtv/ubtv.php?id=2409
BeIN Sport 8,http://154.12.60.186/ubtv/ubtv.php?id=2410
BeIN Sport 9,http://154.12.60.186/ubtv/ubtv.php?id=2411
BeIN Sport 10,http://154.12.60.186/ubtv/ubtv.php?id=2412
BeIN Sport 11,http://154.12.60.186/ubtv/ubtv.php?id=2413
BeIN Sport 12,http://154.12.60.186/ubtv/ubtv.php?id=2414
Bein Sport 13,http://154.12.60.186/ubtv/ubtv.php?id=2415
Bein Sport 15,http://154.12.60.186/ubtv/ubtv.php?id=2416
Bein sports,http://154.12.60.186/ubtv/ubtv.php?id=2417
Bein Sport 14,http://154.12.60.186/ubtv/ubtv.php?id=2418
J SPORTS 1,http://154.12.60.186/ubtv/ubtv.php?id=129
J SPORTS 2,http://154.12.60.186/ubtv/ubtv.php?id=130
J SPORTS 3,http://154.12.60.186/ubtv/ubtv.php?id=131
J SPORTS 4,http://154.12.60.186/ubtv/ubtv.php?id=132
mlb  network,http://154.12.60.186/ubtv/ubtv.php?id=3250
BTN,http://154.12.60.186/ubtv/ubtv.php?id=3256
mlb  network,http://154.12.60.186/ubtv/ubtv.php?id=3251
bt espn hd,http://154.12.60.186/ubtv/ubtv.php?id=2790
ESPN 1,http://154.12.60.186/ubtv/ubtv.php?id=1182
ESPN 2,http://154.12.60.186/ubtv/ubtv.php?id=2789
NBA,http://154.12.60.186/ubtv/ubtv.php?id=2792
NBA TV US,http://154.12.60.186/ubtv/ubtv.php?id=1185
Fox Sport 2,http://154.12.60.186/ubtv/ubtv.php?id=1187
TSN 1,http://154.12.60.186/ubtv/ubtv.php?id=1273
TSN 2,http://154.12.60.186/ubtv/ubtv.php?id=1274
TSN 3,http://154.12.60.186/ubtv/ubtv.php?id=1275
TSN 4,http://154.12.60.186/ubtv/ubtv.php?id=1276
TSN 5,http://154.12.60.186/ubtv/ubtv.php?id=1277
SportNet ON,http://154.12.60.186/ubtv/ubtv.php?id=1278
SportNet One,http://154.12.60.186/ubtv/ubtv.php?id=1279
SportNet World,http://154.12.60.186/ubtv/ubtv.php?id=1280
SportNet 360,http://154.12.60.186/ubtv/ubtv.php?id=1281
NBA CA,http://154.12.60.186/ubtv/ubtv.php?id=1282
E ent,http://154.12.60.186/ubtv/ubtv.php?id=1392
Freesports,http://154.12.60.186/ubtv/ubtv.php?id=1412
BT Sport 2,http://154.12.60.186/ubtv/ubtv.php?id=166
BT Sport 3,http://154.12.60.186/ubtv/ubtv.php?id=167
BT Sport 1,http://154.12.60.186/ubtv/ubtv.php?id=165
Sky Sports 1,http://154.12.60.186/ubtv/ubtv.php?id=172
Sky Sport 2,http://154.12.60.186/ubtv/ubtv.php?id=171
Sky Sports F1,http://154.12.60.186/ubtv/ubtv.php?id=182
Sky Sport 3,http://154.12.60.186/ubtv/ubtv.php?id=183
Sky Sport 4,http://154.12.60.186/ubtv/ubtv.php?id=417
Sky Sport 5,http://154.12.60.186/ubtv/ubtv.php?id=418
sky sports racing hd,http://154.12.60.186/ubtv/ubtv.php?id=2778
sky news hd,http://154.12.60.186/ubtv/ubtv.php?id=2779
UK Euro Sport 1,http://154.12.60.186/ubtv/ubtv.php?id=3226
UK Euro Sport 2,http://154.12.60.186/ubtv/ubtv.php?id=3227
sky sports mix,http://154.12.60.186/ubtv/ubtv.php?id=2780
sky sports arena,http://154.12.60.186/ubtv/ubtv.php?id=2781
sky sports football,http://154.12.60.186/ubtv/ubtv.php?id=2782
sky sports premier league,http://154.12.60.186/ubtv/ubtv.php?id=2783
